,Coin 0,Coin 1,Coin 2,Coin 3
0,90.16185760--119.91770172,67.70226288--43.34791183,68.46186829--80.42734528,86.63014221--100.20639801
1,91.06700134--120.21350861,67.95677185--43.31283951,69.13191223--77.90491486,86.17703247--101.89689636
2,92.19810486--120.26592255,67.61615753--43.93709946,69.53886414--78.18190002,86.04563904--101.49749756
3,91.19793701--120.14383698,67.38194275--44.73921585,68.97521210--77.83516693,85.88383484--101.25155640
4,91.27865601--120.22195435,67.36969757--51.91427612,68.20536041--77.89333344,85.44113159--99.21002197
5,87.99317932--123.76910400,66.05445099--52.32304001,65.12103271--78.26171112,87.21426392--95.55185699
6,87.48220825--125.14894104,64.78533936--53.04840088,64.23965454--78.76210022,88.42900085--94.48234558
7,87.75810242--125.53325653,64.02808380--53.62441635,64.31324768--78.87668610,88.70297241--94.01158142
8,87.73097229--125.69097900,63.60577011--54.08828354,64.25292969--79.00293732,88.57257080--93.71421814
9,87.52038574--126.56336212,65.08381653--54.06167603,63.33454895--80.36447144,87.83122253--93.11114502
10,87.27965546--127.22901917,65.73551941--54.20237732,62.67896271--81.50279999,87.28483582--92.73366547
11,87.23715210--127.14054108,64.95269775--54.40566635,62.84569550--81.58322906,87.27947998--92.72554016
12,87.21615601--126.96546173,64.35526276--54.48277664,63.06759644--81.41109467,87.33877563--92.79756165
13,87.19305420--126.96626282,64.17479706--54.50766754,63.10945892--81.43657684,87.25340271--92.79475403
14,87.06841278--127.59773254,64.46407318--54.57116699,62.69393921--82.44431305,86.41270447--92.49206543
15,86.93538666--127.95432281,62.68589020--55.03299332,62.89610291--83.28593445,85.42585754--92.34667206
16,86.58419800--127.86502838,61.51418686--55.23581696,63.07492447--83.71959686,85.21762085--92.40698242
17,86.47706604--127.74349976,61.44813538--55.20532227,63.09213257--83.73036957,85.31825256--92.46298218
18,86.53530884--127.70429230,61.28980637--55.22668839,63.17274475--83.62840271,85.30441284--92.47852325
19,86.68365479--127.72508240,57.86108017--55.89359665,64.11622620--83.62992859,84.23931122--92.53977203
20,86.37635040--127.29865265,51.61220932--56.96149826,65.81971741--83.61804199,82.95455170--92.87767029
21,85.50263977--126.80757141,47.93473816--57.47846985,66.70329285--83.67392731,82.36051941--93.15974426
22,84.92293549--126.58087921,47.22996902--57.49293137,66.79317474--83.84445190,82.25732422--93.22477722
23,84.84628296--126.50432587,46.92213821--57.52766800,66.87747192--83.87826538,82.20509338--93.27629089
24,85.06665802--126.03810883,44.29066849--58.04970169,67.95713806--83.07631683,82.25511169--93.56384277
25,85.02580261--124.95375824,40.85097504--58.62479019,69.56390381--81.50676727,82.92071533--93.98597717
26,84.85641479--123.75309753,38.05303192--58.76060867,70.89370728--80.27069092,83.20182800--94.03779602
27,84.46082306--122.53913879,36.22108078--58.46278763,71.68992615--79.94646454,82.90080261--93.75386810
28,83.93173981--121.47564697,35.40861893--58.04223251,72.01427460--80.20880127,82.55371094--93.56047058
29,83.49992371--120.66565704,39.13455582--56.91127777,70.96540833--80.73346710,83.30319214--93.38452911
30,84.08566284--121.02228546,48.11066055--55.20724106,68.41619873--80.81504059,84.94052124--93.35868835
31,85.63214874--122.75560760,54.00850296--54.74276352,66.74169159--79.61048889,86.54747009--93.78122711
32,86.86918640--123.71926117,56.28814316--55.03839111,66.33412933--78.69463348,87.47740173--93.82463837
33,87.26240540--124.00409698,56.72481918--55.21172333,66.34843445--78.15004730,87.89060974--93.77463531
34,87.36286926--124.11164093,57.12318802--55.10524368,66.29095459--78.03507233,87.99447632--93.73553467
35,87.36439514--124.48075104,58.41005707--54.77079010,65.83203888--78.51280975,87.85231018--93.61138916
36,87.30017090--125.09133148,60.11004257--54.57886124,65.11267090--79.21375275,87.74002838--93.48528290
37,87.30186462--125.47182465,60.94693375--54.61992645,64.73206329--79.45607758,87.85508728--93.46597290
38,87.36745453--125.56485748,61.17228317--54.66078186,64.66604614--79.39082336,88.01121521--93.46955872
39,87.40446472--125.60733032,61.37408829--54.63592911,64.62178040--79.35597992,88.06980133--93.46182251
40,87.39132690--125.83550262,61.88515091--54.57522202,64.38620758--79.65415192,87.90623474--93.35482025
41,87.30915070--126.28260040,62.54390335--54.56344604,63.96545029--80.32363892,87.52595520--93.14118958
42,87.21717834--126.58172607,62.79579544--54.63550949,63.69285202--80.84687042,87.28779602--92.99190521
43,87.17228699--126.65110016,62.82511520--54.67757034,63.61010742--81.04147339,87.25203705--92.94204712
44,87.15759277--126.68056488,62.90411758--54.67333603,63.56205750--81.11936188,87.23622894--92.92081451
45,87.12878418--126.84949493,63.08981705--54.67158127,63.42241287--81.38581085,87.04548645--92.83940125
46,87.05889893--127.16629791,63.03709412--54.75888443,63.25154114--81.92740631,86.59230042--92.69094849
47,86.95253754--127.36248016,62.42556000--54.93969345,63.25420761--82.41010284,86.16152191--92.59954071
48,86.81788635--127.41170502,61.90621567--55.05340195,63.29410553--82.72073364,85.94038391--92.57553864
49,86.73427582--127.43376160,61.65801239--55.09996414,63.30464554--82.89969635,85.81636047--92.56781769
50,86.70114899--127.50122070,61.11217117--55.21619415,63.39743805--83.07395172,85.54423523--92.55137634
51,86.65450287--127.53701019,59.38199997--55.55427933,63.80747986--83.26313019,84.97326660--92.57521057
52,86.46054840--127.42018127,56.80619431--56.00179672,64.44928741--83.43505096,84.35102844--92.68762207
53,86.12280273--127.26882172,54.61394882--56.33591080,64.95682526--83.67893219,83.84264374--92.81717682
54,85.84534454--127.13758087,53.14085388--56.56199646,65.29588318--83.81022644,83.50680542--92.91867828
55,85.72572327--126.95363617,51.42158890--56.84977341,65.78508759--83.70367432,83.19554138--93.03260040
56,85.64401245--126.55359650,48.84746933--57.25979614,66.61522675--83.24681091,82.92807770--93.22671509
57,85.46353149--125.94635773,46.03769302--57.66033936,67.61943054--82.49794769,82.88014984--93.46644592
58,85.20651245--125.30963135,43.10364914--58.06508255,68.75387573--81.72504425,82.86755371--93.67088318
59,84.83615112--124.68190002,40.85590744--58.27361679,69.59886169--81.32538605,82.79071045--93.75626373
60,84.50799561--124.02600098,39.93014145--58.21622849,70.03230286--81.11267853,82.91713715--93.76941681
61,84.39811707--123.38279724,41.16602707--57.74802017,69.86697388--80.85340118,83.53250885--93.72688293
62,84.68625641--122.98793793,44.78211975--56.85689926,69.02098083--80.45404816,84.54707336--93.61978149
63,85.36779785--123.02136993,49.14690781--55.97415543,67.97227478--79.82758331,85.64943695--93.57980347
64,86.18104553--123.34702301,51.74409866--55.64038849,67.42929077--79.14711761,86.38041687--93.63992310
65,86.68937683--123.62081146,53.27528763--55.49969101,67.10701752--78.79618073,86.84294128--93.61048889
66,86.91414642--123.82955933,54.84753799--55.28052521,66.72119141--78.63799286,87.21655273--93.58990479
67,87.06507874--124.14738464,56.58080673--55.02562714,66.24265289--78.69997406,87.49217224--93.58644104
68,87.17730713--124.57028961,58.31219864--54.80447388,65.70433807--78.89237976,87.69847870--93.57904053
69,87.28164673--124.92192841,59.48781967--54.71844101,65.32676697--78.97982025,87.89004517--93.59632874
70,87.36758423--125.15015411,60.13671112--54.69753265,65.11825562--79.00900269,88.00737762--93.58743286
71,87.40245819--125.34363556,60.66164780--54.66185760,64.92481995--79.12640381,88.02825928--93.53702545
72,87.39402008--125.58348083,61.21758652--54.62217331,64.67352295--79.38838196,87.94677734--93.44776917
73,87.35161591--125.89143372,61.80374527--54.59937286,64.35869598--79.79712677,87.77851868--93.31642914
74,87.30014038--126.15212250,62.22913742--54.61169052,64.09283447--80.17646027,87.63717651--93.19963837
75,87.26472473--126.31462860,62.47605896--54.63030243,63.92382050--80.43601227,87.55006409--93.11951447
76,87.23495483--126.45479584,62.68465424--54.63606644,63.78224945--80.66924286,87.44544983--93.04652405
77,87.19438171--126.63700104,62.89580154--54.64576340,63.61706543--80.97666168,87.26859283--92.95335388
78,87.13436890--126.87392426,63.03460312--54.68371582,63.43400955--81.39502716,86.99349976--92.83352661
79,87.06049347--127.07755280,62.96339798--54.75912094,63.31023407--81.81008148,86.70667267--92.72942352
80,86.98353577--127.20404816,62.76198578--54.83726120,63.25582886--82.13481140,86.47997284--92.66345215
81,86.91444397--127.30178070,62.51161194--54.91015244,63.23582458--82.40225983,86.26585388--92.61687469
82,86.84841919--127.40555573,62.08051300--55.01598740,63.26449585--82.67170715,85.98635101--92.57589722
83,86.76942444--127.49919891,61.19052887--55.20607376,63.41259003--82.95824432,85.58518219--92.55144501
84,86.64524841--127.52417755,59.80112457--55.47067642,63.70410156--83.22185516,85.12739563--92.57066345
